LCD Model,Brand,Size,Type,Resolution,Brightness,Interface
CLAA080FP01,CPT,8.0,LCD,1200x1920,390,MIPI
M070SW46 R0,IVO,7.0,LCD,1200x1920,380,MIPI
E555HBM2,EDO,5.5,OLED,720x1280,300,MIPI
VVX11F037N00,Panasonic,11.0,LCD,1920x1280,450,MIPI
N080ICE-GB0 Rev.C1,Innolux,8.0,LCD,800x1280,400,MIPI
B101EAN01.7,AUO,10.1,LCD,1280x800,400,MIPI
TV101WUM-NH0,BOE,10.1,LCD,1200x1920,400,MIPI
BP096WX1-100,BOE,9.6,LCD,800x1280,350,MIPI
TV070WSM-TL0,BOE,7.0,Assembly,600x1024,300,MIPI
HSD060BHW1-P00,HannStar,6.0,CELL,720x1280,0,MIPI
HSD088IPW1-A00-0299,HannStar,8.8,CELL,1920x480,0,MIPI
TV101WUM-NS0,BOE,10.1,LCD,1200x1920,450,MIPI
TFTMD089061,JDI,8.9,LCD,2560x1600,500,MIPI
COM43H4M64ULC,ORTUSTECH,4.3,LCD,480x800,340,MIPI
CLAA101FP01,CPT,10.1,LCD,1920x1200,700,MIPI
CLAA089FP02,CPT,8.9,LCD,1920x1200,450,MIPI
LS040B3SX01,SHARP,4.0,LCD,640x960,450,MIPI
B116XAN03.1 HW0A,AUO,11.6,LCD,1366x768,400,MIPI
B080XAN01.0,AUO,7.9,LCD,768x1024,400,MIPI
VVX10F008B00,Panasonic,10.1,LCD,1920x1200,385,MIPI
VVX10F004B00,Panasonic,10.1,LCD,1920x1200,600,MIPI
CLAA080WQ02 XG,CPT,8.0,LCD,800x1280,400,MIPI
CLAA080WQ04 XG,CPT,8.0,LCD,800x1280,400,MIPI
B101EAN01.3,AUO,10.1,LCD,1280x800,350,MIPI
LS063K3SX01,SHARP,6.3,LCD,720x1280,450,MIPI
LQ047K3SX08,SHARP,4.7,LCD,720x1280,400,MIPI
P070ACG-AZ1,Innolux,7.0,LCD,600x1024,350,MIPI
P070ACZ-3Z1,Innolux,7.0,CELL,600x1024,0,MIPI
TM040YDZ01,Tianma,4.0,LCD,480x800,350,MIPI
TV080WUM-NL0,BOE,8.0,LCD,1200x1920,390,MIPI
P080KDZ-3Z1,Innolux,8.0,CELL,1200x1920,0,MIPI
BP080WX1-200,BOE,8.0,LCD,800x1280,300,MIPI
B080UAN01.3,AUO,8.0,LCD,1200x1920,430,MIPI
